EXPNUM,NOBJECTS,PFW_ATTEMPT_ID,EXPTIME,NITE
605989,3857.00000000,2508727,30.00000000,20170102
605990,27406.00000000,2507723,600.00000000,20170102
605991,26926.00000000,2506719,600.00000000,20170102
605992,26981.00000000,2506720,600.00000000,20170102
605993,26818.00000000,2508728,600.00000000,20170102
605994,26327.00000000,2508729,600.00000000,20170102
605995,25506.00000000,2507724,600.00000000,20170102
605996,25750.00000000,2508730,600.00000000,20170102
606004,5527.00000000,2507725,30.00000000,20170102
606009,2964.00000000,2506721,30.00000000,20170102
606145,3276.00000000,2507726,30.00000000,20170102
606150,3302.00000000,2507727,30.00000000,20170102
606361,3606.00000000,2506722,30.00000000,20170103
606362,26607.00000000,2506723,600.00000000,20170103
606363,26839.00000000,2508731,600.00000000,20170103
606364,26085.00000000,2506724,600.00000000,20170103
606365,26314.00000000,2506725,600.00000000,20170103
606366,26482.00000000,2508732,600.00000000,20170103
606367,25565.00000000,2506726,600.00000000,20170103
606368,25299.00000000,2507728,600.00000000,20170103
606427,3623.00000000,2508733,30.00000000,20170103
606432,3934.00000000,2508734,30.00000000,20170103
606663,3793.00000000,2508735,30.00000000,20170104
606664,27687.00000000,2507729,600.00000000,20170104
606665,27516.00000000,2507730,600.00000000,20170104
606666,26273.00000000,2508736,600.00000000,20170104
606667,26860.00000000,2506727,600.00000000,20170104
606668,25958.00000000,2506728,600.00000000,20170104
606669,26121.00000000,2508737,600.00000000,20170104
606670,25232.00000000,2507731,600.00000000,20170104
606671,24308.00000000,2508738,600.00000000,20170104
606672,24703.00000000,2507732,600.00000000,20170104
606673,25099.00000000,2506729,600.00000000,20170104
606674,8185.00000000,2508739,30.00000000,20170104
606675,28062.00000000,2506730,240.00000000,20170104
606676,26421.00000000,2507733,240.00000000,20170104
606677,28370.00000000,2507734,240.00000000,20170104
606678,32247.00000000,2507735,240.00000000,20170104
606679,36710.00000000,2506731,240.00000000,20170104
606680,33386.00000000,2508740,240.00000000,20170104
606681,28482.00000000,2508741,240.00000000,20170104
606682,26457.00000000,2507736,240.00000000,20170104
606683,27383.00000000,2508742,240.00000000,20170104
606684,32436.00000000,2506732,240.00000000,20170104
606685,33195.00000000,2506733,240.00000000,20170104
606686,30945.00000000,2507737,240.00000000,20170104
606687,8674.00000000,2507738,30.00000000,20170104
606688,29443.00000000,2508743,240.00000000,20170104
606689,28478.00000000,2508744,240.00000000,20170104
606690,29788.00000000,2507739,240.00000000,20170104
606691,35449.00000000,2506734,240.00000000,20170104
606692,39731.00000000,2508745,240.00000000,20170104
606693,34422.00000000,2508746,240.00000000,20170104
606694,30964.00000000,2507740,240.00000000,20170104
606695,27287.00000000,2508747,240.00000000,20170104
606696,29969.00000000,2508748,240.00000000,20170104
606697,32881.00000000,2507741,240.00000000,20170104
606698,36846.00000000,2506735,240.00000000,20170104
606699,33613.00000000,2507742,240.00000000,20170104
606700,28873.00000000,2507743,240.00000000,20170104
606701,25694.00000000,2508749,240.00000000,20170104
606702,3296.00000000,2508750,30.00000000,20170104
606708,3229.00000000,2506736,30.00000000,20170104
606714,3538.00000000,2506737,30.00000000,20170104
606937,3804.00000000,2506738,30.00000000,20170105
606938,27458.00000000,2508751,600.00000000,20170105
606939,26332.00000000,2507744,600.00000000,20170105
606940,24379.00000000,2508752,600.00000000,20170105
606941,24479.00000000,2508753,600.00000000,20170105
606942,23629.00000000,2508754,600.00000000,20170105
607020,3270.00000000,2507745,30.00000000,20170105
607025,3480.00000000,2508755,30.00000000,20170105
607030,4420.00000000,2507746,30.00000000,20170105
607287,3864.00000000,2508756,30.00000000,20170106
607288,29361.00000000,2506739,600.00000000,20170106
607289,28586.00000000,2506740,600.00000000,20170106
607290,27251.00000000,2508757,600.00000000,20170106
607291,27542.00000000,2507747,600.00000000,20170106
607292,26527.00000000,2506741,600.00000000,20170106
607293,26085.00000000,2506742,600.00000000,20170106
607316,11252.00000000,2507748,30.00000000,20170106
607317,34636.00000000,2506743,240.00000000,20170106
607318,40602.00000000,2508758,240.00000000,20170106
607319,44575.00000000,2508759,240.00000000,20170106
607320,40373.00000000,2508760,240.00000000,20170106
607347,3617.00000000,2508761,30.00000000,20170106
607348,5036.00000000,2506744,60.00000000,20170106
607349,5194.00000000,2506745,60.00000000,20170106
607350,4955.00000000,2507749,60.00000000,20170106
607351,4981.00000000,2508762,60.00000000,20170106
607352,4884.00000000,2508763,60.00000000,20170106
607353,4893.00000000,2506746,60.00000000,20170106
607354,4852.00000000,2506747,60.00000000,20170106
607355,5095.00000000,2508764,60.00000000,20170106
607356,5277.00000000,2507750,60.00000000,20170106
607357,5059.00000000,2508765,60.00000000,20170106
607369,3620.00000000,2508766,30.00000000,20170106
607374,3382.00000000,2506748,30.00000000,20170106
607379,4963.00000000,2507751,30.00000000,20170106
607602,3354.00000000,2506749,30.00000000,20170107
607603,29252.00000000,2506750,600.00000000,20170107
607604,32680.00000000,2507752,600.00000000,20170107
607605,29531.00000000,2508767,600.00000000,20170107
607606,30852.00000000,2506751,600.00000000,20170107
607607,29936.00000000,2507753,600.00000000,20170107
607608,29867.00000000,2506752,600.00000000,20170107
607609,28229.00000000,2506753,600.00000000,20170107
607610,25548.00000000,2508768,600.00000000,20170107
607658,3441.00000000,2508769,30.00000000,20170107
607659,4662.00000000,2508770,60.00000000,20170107
607660,4863.00000000,2506754,60.00000000,20170107
607661,4913.00000000,2507754,60.00000000,20170107
607662,4780.00000000,2506755,60.00000000,20170107
607663,5034.00000000,2506756,60.00000000,20170107
607664,4911.00000000,2506757,60.00000000,20170107
607665,4991.00000000,2508771,60.00000000,20170107
607666,4699.00000000,2506758,60.00000000,20170107
607667,5042.00000000,2507755,60.00000000,20170107
607668,5024.00000000,2506759,60.00000000,20170107
607669,4907.00000000,2506760,60.00000000,20170107
607670,4978.00000000,2508772,60.00000000,20170107
607671,5025.00000000,2507756,60.00000000,20170107
607672,4887.00000000,2507757,60.00000000,20170107
607673,4854.00000000,2508773,60.00000000,20170107
607690,3342.00000000,2506761,30.00000000,20170107
607695,3580.00000000,2507758,30.00000000,20170107
607700,4238.00000000,2506762,30.00000000,20170107
608765,12945.00000000,2508774,120.00000000,20170111
608769,12890.00000000,2507759,120.00000000,20170111
608796,12933.00000000,2506763,120.00000000,20170111
608800,13196.00000000,2506764,120.00000000,20170111
608827,12798.00000000,2506765,120.00000000,20170111
608831,12232.00000000,2506766,120.00000000,20170111
608858,13471.00000000,2506767,120.00000000,20170111
608862,14153.00000000,2507760,120.00000000,20170111
608889,14107.00000000,2506768,120.00000000,20170111
608893,14005.00000000,2508775,120.00000000,20170111
608920,15604.00000000,2507761,120.00000000,20170111
608924,15587.00000000,2508776,120.00000000,20170111
608951,14773.00000000,2506769,120.00000000,20170111
608955,15495.00000000,2508777,120.00000000,20170111
608957,9095.00000000,2507762,30.00000000,20170111
608958,8406.00000000,2508778,30.00000000,20170111
608959,9065.00000000,2508779,30.00000000,20170111
608960,8616.00000000,2506770,30.00000000,20170111
608961,8572.00000000,2507763,30.00000000,20170111
608962,8269.00000000,2506771,30.00000000,20170111
608963,8832.00000000,2506772,30.00000000,20170111
608964,9168.00000000,2506773,30.00000000,20170111
608965,9367.00000000,2507764,30.00000000,20170111
608966,8817.00000000,2506774,30.00000000,20170111
608967,9181.00000000,2506775,30.00000000,20170111
608968,9099.00000000,2508780,30.00000000,20170111
608969,8913.00000000,2506776,30.00000000,20170111
608970,8118.00000000,2506777,30.00000000,20170111
608971,9167.00000000,2506778,30.00000000,20170111
608972,9263.00000000,2506779,30.00000000,20170111
608973,9405.00000000,2507765,30.00000000,20170111
608974,8734.00000000,2507766,30.00000000,20170111
608975,9415.00000000,2507767,30.00000000,20170111
608976,8194.00000000,2508781,30.00000000,20170111
608977,8332.00000000,2508782,30.00000000,20170111
608978,8707.00000000,2507768,30.00000000,20170111
608982,15556.00000000,2507769,120.00000000,20170111
608986,15609.00000000,2508783,120.00000000,20170111
609013,15420.00000000,2506780,120.00000000,20170111
609017,14480.00000000,2506781,120.00000000,20170111
609022,4744.00000000,2506782,60.00000000,20170111
609027,4381.00000000,2508784,60.00000000,20170111
609032,4778.00000000,2506783,60.00000000,20170111
609036,13040.00000000,2507770,120.00000000,20170111
609040,13881.00000000,2508785,120.00000000,20170111
609045,4606.00000000,2506784,60.00000000,20170111
609050,5043.00000000,2507771,60.00000000,20170111
609052,8568.00000000,2508786,30.00000000,20170111
609053,8540.00000000,2508787,30.00000000,20170111
609054,8267.00000000,2506785,30.00000000,20170111
609055,7612.00000000,2507772,30.00000000,20170111
609056,7531.00000000,2507773,30.00000000,20170111
609057,7883.00000000,2507774,30.00000000,20170111
609058,7467.00000000,2506786,30.00000000,20170111
609059,8139.00000000,2507775,30.00000000,20170111
609060,8085.00000000,2506787,30.00000000,20170111
609061,7037.00000000,2506788,30.00000000,20170111
609062,7660.00000000,2507776,30.00000000,20170111
609063,6753.00000000,2506789,30.00000000,20170111
609064,7353.00000000,2507777,30.00000000,20170111
609065,6826.00000000,2508788,30.00000000,20170111
609066,6349.00000000,2507778,30.00000000,20170111
609067,6963.00000000,2506790,30.00000000,20170111
609068,6914.00000000,2506791,30.00000000,20170111
609069,7489.00000000,2508789,30.00000000,20170111
609070,7207.00000000,2506792,30.00000000,20170111
609071,7217.00000000,2506793,30.00000000,20170111
609072,6943.00000000,2507779,30.00000000,20170111
609073,7181.00000000,2507780,30.00000000,20170111
609077,12834.00000000,2508790,120.00000000,20170111
609081,12217.00000000,2506794,120.00000000,20170111
609086,6302.00000000,2507781,60.00000000,20170111
609091,4793.00000000,2508791,60.00000000,20170111
609096,5065.00000000,2508792,60.00000000,20170111
613878,22812.00000000,2508793,40.00000000,20170127
613880,21607.00000000,2506795,40.00000000,20170127
613882,22730.00000000,2506796,40.00000000,20170127
614206,94361.00000000,2506797,400.00000000,20170128
614208,107766.00000000,2507782,400.00000000,20170128
614210,95507.00000000,2506798,400.00000000,20170128
614212,89052.00000000,2508794,400.00000000,20170128
614214,86376.00000000,2507783,400.00000000,20170128
614230,78468.00000000,2508795,400.00000000,20170128
614235,21742.00000000,2507784,40.00000000,20170128
614239,19595.00000000,2508796,40.00000000,20170128
614520,90158.00000000,2506799,500.00000000,20170129
614521,89596.00000000,2508797,500.00000000,20170129
614522,90347.00000000,2507785,500.00000000,20170129
614523,90028.00000000,2506800,500.00000000,20170129
614532,119190.00000000,2506801,400.00000000,20170129
614533,122621.00000000,2506802,400.00000000,20170129
